seq_unique,seq_name,L1_annotation,c_call,sample_clean_fol,L1_annotation_int,c_call_int,sample_clean_fol_int
seq3399,sequence_7362:sequence_7619:sequence_7951,GC_B_cells,NA:IGHG1,HH119-SI-PP_Fol-34,1,32,88
seq34,sequence_37:sequence_393,GC_B_cells,IGHG1,HH119-SI-MILF,1,6,4
seq340,sequence_508,GC_B_cells,IGHG3,HH119-SI-MILF,1,20,4
seq3400,sequence_7364,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3401,sequence_7368,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3402,sequence_7369,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3403,sequence_7370,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3404,sequence_7373,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3405,sequence_7374,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3406,sequence_7375:sequence_7553,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3407,sequence_7376,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3408,sequence_7377,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3409,sequence_7379,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq341,sequence_511,GC_B_cells,IGHG3,HH119-SI-MILF,1,20,4
seq3410,sequence_7381:sequence_7424:sequence_7461:sequence_7512:sequence_7655,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34:HH119-SI-PP_Fol-28,1,6,93
seq3411,sequence_7382,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3412,sequence_7383,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3413,sequence_7384:sequence_7444:sequence_7560,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3414,sequence_7385:sequence_7663,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3415,sequence_7387,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3416,sequence_7389:sequence_7546:sequence_7662:sequence_7683:sequence_7781:sequence_7784:sequence_7823:sequence_7824:sequence_7865:sequence_7927,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34:HH119-SI-PP_Fol-22,1,6,89
seq3417,sequence_7390,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3418,sequence_7392:sequence_7795,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3419,sequence_7394:sequence_7872:sequence_7919,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq342,sequence_512,GC_B_cells,IGHG1,HH119-SI-MILF,1,6,4
seq3420,sequence_7395,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3421,sequence_7397,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
seq3422,sequence_7401,GC_B_cells,IGHG1,HH119-SI-PP_Fol-34,1,6,88
