"seq_unique","PCs","NA"
"seq2155",0,1
"seq2156",0,1
"seq2157",0,1
"seq2158",0,1
"seq2159",0,1
"seq216",0,1
"seq2160",0,1
"seq2161",0,1
"seq2162",0,1
"seq2163",0,1
"seq2164",0,1
"seq2165",0,1
"seq2166",0,1
"seq2167",0,1
"seq2168",0,1
"seq2169",0,1
"seq217",0,1
"seq2170",0,4
"seq2171",0,1
"seq2172",0,1
"seq2173",0,1
"seq2174",0,1
"seq2175",0,2
"seq2176",0,1
"seq2177",0,1
"seq2178",0,1
"seq2179",0,1
"seq218",0,1
"seq2180",0,1
"seq2181",0,1
"seq2182",0,1
"seq2183",0,1
"seq2184",0,1
"seq2185",0,1
"seq2186",0,1
"seq2187",0,1
"seq2188",0,1
"seq2189",0,1
"seq219",0,2
"seq2190",0,1
"seq2191",0,1
"seq2192",0,2
"seq2193",0,1
"seq2194",0,2
"seq2195",0,1
"seq2196",0,1
"seq2197",0,1
"seq2198",0,8
"seq2199",0,1
"seq22",1,0
"seq220",0,1
"seq2200",0,1
"seq2201",0,1
"seq2202",0,1
"seq2203",0,1
"seq2204",0,1
"seq2205",0,1
"seq2206",0,1
"seq2207",0,2
"seq2208",0,1
"seq2209",0,1
"seq221",0,2
"seq2210",0,1
"seq2211",0,1
"seq2212",0,1
"seq2213",0,1
"seq2214",0,1
"seq2215",0,3
"seq2216",0,3
"seq2217",0,1
"seq2218",0,1
"seq2219",0,1
"seq222",0,1
"seq2220",0,5
"seq2221",0,1
"seq2222",0,2
"seq2223",0,1
"seq2224",0,1
"seq2225",0,1
"seq2226",0,4
"seq2227",0,4
"seq2228",0,1
"seq2229",0,2
"seq223",0,1
"seq2230",0,1
"seq2231",0,1
"seq2232",0,1
"seq2233",0,1
"seq2234",0,1
"seq2235",0,1
"seq2236",0,2
"seq2237",0,1
"seq2238",0,3
"seq2239",0,1
"seq224",0,2
"seq2240",0,1
"seq2241",0,1
"seq2242",0,1
"seq2243",0,1
"seq2244",0,1
"seq2245",0,1
"seq2246",0,1
"seq2247",0,1
"seq2248",0,1
"seq2249",0,1
"seq225",0,1
"seq2250",0,1
"seq2251",0,1
"seq2252",0,1
"seq2253",0,1
"seq2254",0,1
"seq2255",0,1
"seq2256",0,1
"seq2257",0,1
"seq2258",0,1
"seq2259",0,1
"seq226",0,1
"seq2260",0,2
"seq2261",0,1
"seq2262",0,1
"seq2263",0,1
