"seq_unique","GC_B_cells","PCs","Memory_Bcells","Unconventional_Bcells","Naive_Bcells"
"seq1528",4,0,0,0,0
"seq1529",2,0,0,0,0
"seq153",1,0,0,0,0
"seq1530",4,0,0,0,0
"seq1531",1,0,0,0,0
"seq1532",1,0,0,0,0
"seq1533",1,0,0,0,0
"seq1534",1,0,0,0,0
"seq1535",1,0,0,0,0
"seq1536",1,0,0,0,0
"seq1537",1,0,1,0,0
"seq1538",1,0,0,0,0
"seq1539",1,0,0,0,0
"seq154",1,0,0,0,0
"seq1540",7,0,0,0,0
"seq1541",2,0,0,0,0
"seq1542",1,0,0,0,0
"seq1543",1,0,0,0,0
"seq1544",1,0,0,0,0
"seq1545",1,0,0,0,0
"seq1546",1,0,0,0,0
"seq1547",1,0,0,0,0
"seq1548",2,0,0,0,0
"seq1549",1,0,0,0,0
"seq155",1,0,0,0,0
"seq1550",1,0,0,0,0
"seq1551",1,0,0,0,0
"seq1552",2,0,0,0,0
"seq1553",1,0,0,0,0
"seq1554",1,0,0,0,0
"seq1555",1,0,0,0,0
"seq1556",1,0,0,0,0
"seq1557",1,0,0,0,0
"seq1558",3,0,0,0,0
"seq1559",1,0,0,0,0
"seq156",6,0,0,0,0
"seq1560",1,0,0,0,0
"seq1561",3,0,0,0,0
"seq1562",1,0,0,0,0
"seq1563",1,0,0,0,0
"seq1564",1,1,0,0,0
"seq1565",1,0,0,0,0
"seq1566",1,0,0,0,0
"seq1567",1,0,0,0,0
"seq1568",3,0,0,0,0
"seq1569",1,0,0,0,0
"seq157",0,3,0,0,0
"seq1570",1,0,0,0,0
"seq1571",1,0,0,0,0
"seq1572",1,0,0,0,0
"seq1573",4,0,0,0,0
"seq1574",1,0,0,0,0
"seq1575",1,0,0,0,0
"seq1576",1,0,0,0,0
"seq1577",1,0,0,0,0
"seq1578",1,0,0,0,0
"seq1579",1,0,0,0,0
"seq158",1,0,0,0,0
"seq1580",1,0,0,0,0
"seq1581",5,0,0,0,0
"seq1582",2,0,0,0,0
"seq1583",1,0,0,0,0
"seq1584",1,0,0,0,0
"seq1585",2,0,0,0,0
"seq1586",2,0,0,0,0
"seq1587",1,0,0,0,0
"seq1588",1,0,0,0,0
"seq1589",1,0,0,0,0
"seq159",1,0,0,0,0
"seq1590",1,0,0,0,0
"seq1591",1,0,0,0,0
"seq1592",2,0,0,0,0
"seq1593",1,0,0,0,0
"seq1594",1,0,0,0,0
"seq1595",1,0,0,0,0
"seq1596",1,0,0,0,0
"seq1597",1,0,0,0,0
"seq1598",1,0,0,0,0
"seq1599",1,0,0,0,0
"seq16",1,0,0,0,0
"seq160",1,0,0,0,0
"seq1600",1,0,0,0,0
"seq1601",1,0,0,0,0
"seq1602",1,0,0,0,0
"seq1603",1,0,0,0,0
"seq1604",1,0,0,0,0
"seq1605",1,0,0,0,0
"seq1606",2,0,0,0,0
"seq1607",4,1,0,0,0
"seq1608",1,0,0,0,0
"seq1609",1,0,0,0,0
"seq161",3,0,0,0,0
"seq1610",4,0,0,0,0
"seq1611",1,0,0,0,0
"seq1612",1,0,0,0,0
"seq1613",2,0,0,0,0
"seq1614",1,0,0,0,0
"seq1615",2,0,0,0,0
"seq1616",1,0,0,0,0
"seq1617",1,0,0,0,0
"seq1618",1,0,0,0,0
"seq1619",1,0,0,0,0
"seq162",1,0,0,0,0
"seq1620",1,0,0,0,0
"seq1621",2,0,0,0,0
"seq1622",1,0,0,0,0
"seq1623",1,0,0,0,0
"seq1624",1,0,0,0,0
"seq1625",1,0,0,0,0
"seq1626",1,0,0,0,0
"seq1627",3,0,0,0,0
"seq1628",1,0,0,0,0
"seq1629",1,0,0,0,0
"seq163",1,0,0,0,0
"seq1630",1,0,0,0,0
"seq1631",1,0,0,0,0
"seq1632",1,0,0,0,0
"seq1633",1,0,0,0,0
"seq1634",1,0,0,0,0
"seq1635",1,0,0,0,0
"seq1636",1,0,0,0,0
"seq1637",1,0,0,0,0
"seq1638",1,0,0,0,0
"seq1639",1,0,0,0,0
"seq164",1,0,0,0,0
