"seq_unique","IGHG1","IGHA1","IGHE","IGHG2","IGHG3","IGHM","NA","IGHG4","IGHA2","IGHD"
"seq1290",1,0,0,0,0,0,0,0,0,0
"seq1291",1,0,0,0,0,0,0,0,0,0
"seq1292",1,0,0,0,0,0,0,0,0,0
"seq1293",1,0,0,0,0,0,0,0,0,0
"seq1294",3,0,0,0,0,0,0,0,0,0
"seq1295",1,0,0,0,0,0,0,0,0,0
"seq1296",1,0,0,0,0,0,0,0,0,0
"seq1297",5,0,0,0,0,0,0,0,0,0
"seq1298",1,0,0,0,0,0,0,0,0,0
"seq1299",1,0,0,0,0,0,0,0,0,0
"seq13",0,1,0,0,0,0,0,0,0,0
"seq130",5,0,0,0,0,0,0,0,0,0
"seq1300",1,0,0,0,0,0,0,0,0,0
"seq1301",1,0,0,0,0,0,0,0,0,0
"seq1302",8,0,0,0,0,0,0,0,0,0
"seq1303",1,0,0,0,0,0,0,0,0,0
"seq1304",1,0,0,0,0,0,0,0,0,0
"seq1305",1,0,0,0,0,0,0,0,0,0
"seq1306",2,0,0,0,0,0,0,0,0,0
"seq1307",1,0,0,0,0,0,0,0,0,0
"seq1308",1,0,0,0,0,0,0,0,0,0
"seq1309",1,0,0,0,0,0,1,0,0,0
"seq131",1,0,0,0,0,0,0,0,0,0
"seq1310",1,0,0,0,0,0,0,0,0,0
"seq1311",1,0,0,0,0,0,0,0,0,0
"seq1312",1,0,0,0,0,0,0,0,0,0
"seq1313",1,0,0,0,0,0,0,0,0,0
"seq1314",1,0,0,0,0,0,0,0,0,0
"seq1315",1,0,0,0,0,0,0,0,0,0
"seq1316",6,0,0,0,0,0,0,0,0,0
"seq1317",3,0,0,0,0,0,0,0,0,0
"seq1318",5,0,0,0,0,0,0,0,0,0
"seq1319",1,0,0,0,0,0,1,0,0,0
"seq132",1,0,0,0,0,0,0,0,0,0
"seq1320",1,0,0,0,0,0,0,0,0,0
"seq1321",11,0,0,0,0,0,0,0,0,0
"seq1322",1,0,0,0,0,0,0,0,0,0
